kepler_name,koi_disposition,koi_vet_stat,koi_datalink_dvs,koi_vet_date
Kepler-246 b,CONFIRMED,Active,007/007134/007134976/dv/kplr007134976-001-20141002224145_dvs.pdf,2015-09-18
Kepler-246 c,CONFIRMED,Active,007/007134/007134976/dv/kplr007134976-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007135/007135852/dv/kplr007135852-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,007/007270/007270230/dv/kplr007270230-001-20141002224145_dvs.pdf,2015-09-18
Kepler-81 b,CONFIRMED,Active,007/007287/007287995/dv/kplr007287995-001-20141002224145_dvs.pdf,2015-09-18
Kepler-81 c,CONFIRMED,Active,007/007287/007287995/dv/kplr007287995-002-20141002224145_dvs.pdf,2015-09-18
Kepler-81 d,CONFIRMED,Active,007/007287/007287995/dv/kplr007287995-003-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,003/003247/003247396/dv/kplr003247396-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007303/007303253/dv/kplr007303253-001-20141002224145_dvs.pdf,2015-09-18
Kepler-109 b,CONFIRMED,Active,005/005094/005094751/dv/kplr005094751-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007678/007678434/dv/kplr007678434-001-20141002224145_dvs.pdf,2015-09-18
Kepler-227 c,CONFIRMED,Active,010/010797/010797460/dv/kplr010797460-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007685/007685981/dv/kplr007685981-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,007/007708/007708215/dv/kplr007708215-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007373/007373451/dv/kplr007373451-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007377/007377033/dv/kplr007377033-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007380/007380537/dv/kplr007380537-001-20141002224145_dvs.pdf,2015-09-18
Kepler-247 c,CONFIRMED,Active,007/007434/007434875/dv/kplr007434875-001-20141002224145_dvs.pdf,2015-09-18
Kepler-95 b,CONFIRMED,Active,008/008349/008349582/dv/kplr008349582-001-20141002224145_dvs.pdf,2015-09-18
Kepler-247 d,CONFIRMED,Active,007/007434/007434875/dv/kplr007434875-002-20141002224145_dvs.pdf,2015-09-18
Kepler-247 b,CONFIRMED,Active,007/007434/007434875/dv/kplr007434875-003-20141002224145_dvs.pdf,2015-09-18
Kepler-54 b,CONFIRMED,Active,007/007455/007455287/dv/kplr007455287-001-20141002224145_dvs.pdf,2015-09-18
Kepler-54 c,CONFIRMED,Active,007/007455/007455287/dv/kplr007455287-002-20141002224145_dvs.pdf,2015-09-18
Kepler-54 d,CONFIRMED,Active,007/007455/007455287/dv/kplr007455287-003-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007458/007458762/dv/kplr007458762-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,007/007552/007552344/dv/kplr007552344-001-20141002224145_dvs.pdf,2015-09-18
Kepler-75 b,CONFIRMED,Active,000/000757/000757450/dv/kplr000757450-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007585/007585481/dv/kplr007585481-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007663/007663691/dv/kplr007663691-001-20141002224145_dvs.pdf,2015-09-18
Kepler-448 b,CONFIRMED,Active,005/005812/005812701/dv/kplr005812701-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008013/008013419/dv/kplr008013419-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008018/008018547/dv/kplr008018547-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008039/008039892/dv/kplr008039892-001-20141002224145_dvs.pdf,2015-09-18
Kepler-55 d,CONFIRMED,Active,008/008150/008150320/dv/kplr008150320-001-20141002224145_dvs.pdf,2015-09-18
Kepler-55 b,CONFIRMED,Active,008/008150/008150320/dv/kplr008150320-003-20141002224145_dvs.pdf,2015-09-18
Kepler-110 b,CONFIRMED,Active,011/011086/011086270/dv/kplr011086270-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,007/007767/007767559/dv/kplr007767559-001-20141002224145_dvs.pdf,2015-09-18
Kepler-248 c,CONFIRMED,Active,007/007825/007825899/dv/kplr007825899-001-20141002224145_dvs.pdf,2015-09-18
Kepler-248 b,CONFIRMED,Active,007/007825/007825899/dv/kplr007825899-002-20141002224145_dvs.pdf,2015-09-18
